GIS Completion Date,matching_rows,total_time_spent_hrs
2025-05-29,1,2.25
2025-06-04,3,4.75
2025-06-16,1,2.0
2025-06-17,2,7.0
2025-06-19,1,2.0
2025-07-09,2,2.5
2025-07-10,3,2.0
2025-07-14,1,2.5
2025-07-15,2,2.5
2025-07-18,1,4.0
2025-07-22,1,1.0
2025-07-23,2,1.0
2025-07-24,1,2.0
2025-07-25,2,2.0
2025-07-29,1,2.0
2025-08-01,2,4.0
2025-08-06,1,9.0
2025-08-08,1,2.0
2025-08-12,2,3.0
2025-08-14,2,5.0
2025-08-18,2,5.0
2025-08-20,1,0.0
2025-08-21,5,7.0
2025-08-22,1,3.0
2025-08-25,1,3.5
2025-09-08,4,18.0
2025-09-09,1,4.0
2025-09-12,1,5.0
2025-09-15,1,6.0
2025-09-16,2,6.0
2025-09-17,2,7.5
2025-09-18,2,4.0
2025-09-22,1,5.5
2025-09-23,2,3.0
2025-10-02,1,1.5
2025-10-08,1,2.0
2025-10-27,1,0.5
2025-10-28,4,19.75
2025-10-29,2,2.0
2025-10-30,1,2.0
2025-11-04,2,1.5
2025-11-05,1,1.0
2025-11-06,1,2.0
2025-11-07,3,15.5
2025-11-12,2,8.0
2025-11-13,2,5.25
2025-11-17,4,15.75
2025-11-20,1,3.0
2025-11-27,2,8.0
2025-12-02,1,14.0
2025-12-03,1,2.0
2025-12-08,2,7.0
2025-12-18,1,1.0
2025-12-30,1,26.0
2026-01-13,2,9.5
2026-01-15,7,4.0
2026-01-21,2,6.0
2026-01-23,1,28.0
2026-01-29,2,10.0
2026-01-30,2,37.0
2026-02-03,2,3.0
2026-02-10,4,4.0
2026-02-13,1,3.0
2026-02-19,2,5.0
2026-02-24,1,2.0
2026-03-02,7,6.0
2026-03-03,2,4.25
2026-03-04,1,0.5
2026-03-09,1,1.5
2026-03-12,1,1.5
2026-03-17,1,5.5
2026-03-18,1,4.0
2026-03-20,2,6.0
2026-03-23,1,1.5
,15,29.0
